Name,ID
Binance,binance
Bitfinex,bitfinex
Coinbase Exchange,gdax
Crypto.com Exchange,crypto_com
Kraken,kraken
Bybit,bybit_spot
OKX,okex
Gate.io,gate
KuCoin,kucoin
Binance US,binance_us
MEXC,mxc
Bitget,bitget
BingX,bingx
Crypto.com Exchange,crypto_com
Fastex,fastex
Bitstamp,bitstamp
Gemini,gemini
WOO X,wootrade
HTX,huobi
DigiFinex,digifinex
WhiteBIT,whitebit
BitMart,bitmart
Upbit,upbit
LBank,lbank
Bitrue,bitrue
LATOKEN,latoken
Deepcoin,deepcoin
XT.COM,xt
BTSE,btse
CITEX,citex
AscendEX (BitMax),bitmax
Coinstore,coinstore
ProBit Global,probit
Phemex,phemex
PointPay,pointpay
EXMO,exmo
Bitso,bitso
CoinEx,coinex
Bitbank,bitbank
bitcastle,bitcastle
Max Maicoin,max_maicoin
BitoPro,bitopro
VALR,valr
Indodax,indodax
XeggeX,xeggex
Coins.ph,coinspro
NiceHash,nice_hash
Blockchain.com,blockchain_com
BitMEX,bitmex_spot
OrangeX,orangex
Toobit,toobit
Biconomy,biconomy
Bitunix,bitunix
BigONE,bigone
Dex-Trade,dextrade
bitFlyer,bitflyer
BtcTurk | Kripto,btcturk
Azbit,azbit
Paribu,paribu
Bitkub,bitkub
Bullish,bullish_com
Bitexen,bitexen
Luno,luno
BitStorage,bitstorage
Bitazza,bitazza
CEX.IO,cex
Zaif,zaif
FinexBox,finexbox
Kuna Exchange,kuna
Stormgain,stormgain
Coinmetro,coin_metro
Okcoin,okcoin
CoinW,coinw
Uniswap V3 (Ethereum),uniswap_v3
Hotcoin Global,hotcoin_global
P2B,p2pb2b
Bithumb,bithumb
CoinTR Pro,cointr
Pionex,pionex
Tapbit,tapbit
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Bitvavo,bitvavo
BitMake,bitmake
Uniswap V2 (Ethereum),uniswap_v2
QMall,qmall
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
C-Patex,c_patex
Bitci TR,bitci
Coinone,coinone
PulseX,pulsex
Balancer V2,balancer
BitDelta,bitdelta
PancakeSwap (v2),pancakeswap_new
Uniswap V3 (Optimism),uniswap_v3_optimism
Trader Joe V2.1 (Arbitrum),traderjoe-v2-1-arbitrum
Osmosis,osmosis
GMO Japan,gmo_japan
Cetus,cetus
Cryptology,cryptology
Catex,catex
