open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
1535.437728,1539.91618,1533.84682,1539.91618,1669.68,1674.55,1667.95,1674.55,7506.0651,7506.0651,2023-08-20
1528.00736,1560.303712,1521.303476,1535.428532,1661.6,1696.72,1654.31,1669.67,231919.0485,231919.0485,2023-08-19
1546.298204,1562.76824,1509.081992,1527.998164,1681.49,1699.4,1641.02,1661.59,538083.1018,538083.1018,2023-08-18
1662.462076,1664.466804,1425.38,1546.298204,1807.81,1809.99,1550.0,1681.49,812138.2159,812138.2159,2023-08-17
1681.930008,1684.265792,1653.597132,1662.462076,1828.98,1831.52,1798.17,1807.81,205430.7368,205430.7368,2023-08-16
1697.1218,1698.832256,1668.1544,1681.930008,1845.5,1847.36,1814.0,1828.98,186081.6989,186081.6989,2023-08-15
1692.735308,1707.2374,1687.466,1697.1218,1840.73,1856.5,1835.0,1845.5,150196.1203,150196.1203,2023-08-14
1701.204824,1712.2952,1687.015396,1692.735308,1849.94,1862.0,1834.51,1840.73,120674.1364,120674.1364,2023-08-13
1700.193264,1704.947596,1697.655168,1701.195628,1848.84,1854.01,1846.08,1849.93,63292.6476,63292.6476,2023-08-12
1703.531412,1707.936296,1690.27078,1700.193264,1852.47,1857.26,1838.05,1848.84,113209.3103,113209.3103,2023-08-11
1706.189056,1715.92762,1697.011448,1703.531412,1855.36,1865.95,1845.38,1852.47,127321.4553,127321.4553,2023-08-10
1707.05348,1721.482004,1697.839088,1706.17986,1856.3,1871.99,1846.28,1855.35,191926.8343,191926.8343,2023-08-09
1682.04036,1725.638596,1679.493068,1707.05348,1829.1,1876.51,1826.33,1856.3,236336.03,236336.03,2023-08-08
1683.125488,1698.5012,1657.1192,1682.04036,1830.28,1847.0,1802.0,1829.1,224092.9059,224092.9059,2023-08-07
1688.827008,1690.758168,1679.060856,1683.125488,1836.48,1838.58,1825.86,1830.28,90403.9915,90403.9915,2023-08-06
1683.088704,1691.1444,1680.569,1688.827008,1830.24,1839.0,1827.5,1836.48,93657.3255,93657.3255,2023-08-05
1688.210876,1702.464676,1669.754504,1683.079508,1835.81,1851.31,1815.74,1830.23,187699.4552,187699.4552,2023-08-04
1691.97204,1709.646752,1679.1896,1688.210876,1839.9,1859.12,1826.0,1835.81,171148.052,171148.052,2023-08-03
1722.852208,1728.608904,1674.784716,1691.97204,1873.48,1879.74,1821.21,1839.9,254213.0553,254213.0553,2023-08-02
1706.897148,1724.820152,1667.97048,1722.843012,1856.13,1875.62,1813.8,1873.47,358476.0966,358476.0966,2023-08-01
1712.102084,1726.45704,1702.197992,1706.906344,1861.79,1877.4,1851.02,1856.14,168204.4534,168204.4534,2023-07-31
1729.26182,1733.72188,1699.577132,1712.102084,1880.45,1885.3,1848.17,1861.79,158657.5902,158657.5902,2023-07-30
