Name,ID
Binance,binance
Bybit,bybit_spot
OKX,okex
Coinbase Exchange,gdax
KuCoin,kucoin
Gate.io,gate
Kraken,kraken
Bitfinex,bitfinex
Bitstamp,bitstamp
HashKey Exchange,hashkey_exchange
Binance US,binance_us
HTX,huobi
Bitget,bitget
BingX,bingx
CoinW,coinw
Crypto.com Exchange,crypto_com
WOO X,wootrade
Gemini,gemini
Luno,luno
Coins.ph,coinspro
MEXC,mxc
DigiFinex,digifinex
BitMart,bitmart
Upbit,upbit
LBank,lbank
Bitrue,bitrue
WhiteBIT,whitebit
Deepcoin,deepcoin
XT.COM,xt
Tapbit,tapbit
Fastex,fastex
BTSE,btse
CITEX,citex
AscendEX (BitMax),bitmax
ProBit Global,probit
Azbit,azbit
PointPay,pointpay
Dex-Trade,dextrade
Phemex,phemex
EXMO,exmo
Bitbank,bitbank
CoinEx,coinex
Max Maicoin,max_maicoin
Bitso,bitso
Indodax,indodax
BitoPro,bitopro
XeggeX,xeggex
Blockchain.com,blockchain_com
BitMEX,bitmex_spot
LATOKEN,latoken
Bithumb,bithumb
Toobit,toobit
Bitunix,bitunix
BigONE,bigone
Coinstore,coinstore
bitFlyer,bitflyer
Coincheck,coincheck
Bitkub,bitkub
bitcastle,bitcastle
Bitazza,bitazza
Bullish,bullish_com
BitStorage,bitstorage
VALR,valr
Independent Reserve,independent_reserve
CEX.IO,cex
FinexBox,finexbox
Bitlo,bitlo
Stormgain,stormgain
Kuna Exchange,kuna
Coinmetro,coin_metro
Okcoin,okcoin
Uniswap V3 (Ethereum),uniswap_v3
Hotcoin Global,hotcoin_global
P2B,p2pb2b
OrangeX,orangex
CoinTR Pro,cointr
BitVenus,bitvenus_spot
Biconomy,biconomy
Pionex,pionex
Bitvavo,bitvavo
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
BitMake,bitmake
WEEX,weex
Uniswap V2 (Ethereum),uniswap_v2
QMall,qmall
Bitci TR,bitci
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
BtcTurk | Kripto,btcturk
Paribu,paribu
BitDelta,bitdelta
C-Patex,c_patex
Osmosis,osmosis
PancakeSwap (v2),pancakeswap_new
Trader Joe V2.1 (Arbitrum),traderjoe-v2-1-arbitrum
GMO Japan,gmo_japan
PulseX,pulsex
Katana,katana
Turbos Finance,turbos-finance
Cryptology,cryptology
