Name,ID
Binance,binance
Bybit,bybit_spot
Coinbase Exchange,gdax
OKX,okex
Gate.io,gate
KuCoin,kucoin
Kraken,kraken
Crypto.com Exchange,crypto_com
HashKey Exchange,hashkey_exchange
Binance US,binance_us
HTX,huobi
BingX,bingx
Bitget,bitget
CoinW,coinw
Bitfinex,bitfinex
Bitstamp,bitstamp
Gemini,gemini
WOO X,wootrade
Coins.ph,coinspro
BitMart,bitmart
Upbit,upbit
LBank,lbank
DigiFinex,digifinex
MEXC,mxc
Bitrue,bitrue
LATOKEN,latoken
WhiteBIT,whitebit
Deepcoin,deepcoin
XT.COM,xt
Tapbit,tapbit
Fastex,fastex
CITEX,citex
BTSE,btse
AscendEX (BitMax),bitmax
ProBit Global,probit
PointPay,pointpay
Dex-Trade,dextrade
Phemex,phemex
Azbit,azbit
EXMO,exmo
Bitbank,bitbank
CoinEx,coinex
Bitso,bitso
bitcastle,bitcastle
Max Maicoin,max_maicoin
Indodax,indodax
BitoPro,bitopro
XeggeX,xeggex
BitMEX,bitmex_spot
Bithumb,bithumb
Biconomy,biconomy
Bitunix,bitunix
BigONE,bigone
BitMake,bitmake
Coinstore,coinstore
bitFlyer,bitflyer
Coincheck,coincheck
BtcTurk | Kripto,btcturk
Paribu,paribu
Bitkub,bitkub
Bullish,bullish_com
BitStorage,bitstorage
Independent Reserve,independent_reserve
Luno,luno
Korbit,korbit
VALR,valr
Bitazza,bitazza
CEX.IO,cex
Kuna Exchange,kuna
Stormgain,stormgain
Coinmetro,coin_metro
Blockchain.com,blockchain_com
Okcoin,okcoin
Hotcoin Global,hotcoin_global
P2B,p2pb2b
OrangeX,orangex
Uniswap V3 (Ethereum),uniswap_v3
Toobit,toobit
CoinTR Pro,cointr
Pionex,pionex
BitVenus,bitvenus_spot
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Bitvavo,bitvavo
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
WEEX,weex
Uniswap V2 (Ethereum),uniswap_v2
QMall,qmall
C-Patex,c_patex
Bitci TR,bitci
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
BitDelta,bitdelta
Coinone,coinone
Osmosis,osmosis
Balancer V2,balancer
PancakeSwap (v2),pancakeswap_new
Cetus,cetus
Websea,websea
GMO Japan,gmo_japan
Katana,katana
Cryptology,cryptology
