time,volume
1.7052366e12,211164.13
1.705323e12,284275.54
1.7054094e12,313993.35
1.7054958e12,331046.82
1.7055822e12,310260.56
1.7056686e12,347599.74
1.705755e12,321052.9
1.7058414e12,152138.12
1.7059278e12,254002.74
1.7060142e12,461707.38
1.7061006e12,362823.25
1.706187e12,282338.51
1.7062734e12,281668.13
1.7063598e12,249300.33
1.7064462e12,196314.02
1.7065326e12,202042.19
1.706619e12,309473.79
1.7067054e12,340663.9
1.7067918e12,374068.55
1.7068782e12,265477.76
1.7069646e12,203978.57
1.707051e12,143652.88
1.7071374e12,211730.41
1.7072238e12,259428.67
1.7073102e12,242010.33
1.7073966e12,310180.78
1.707483e12,363536.08
1.7075694e12,328124.39
1.7076558e12,222481.64
1.7077422e12,235472.89
