open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
6.4476371,6.5802194,6.4006221,6.5219208,6.857,6.998,6.807,6.936,820804.06,820804.06,2023-03-05
6.5426074,6.5924433,6.3075324,6.4476371,6.958,7.011,6.708,6.857,2.73846451e6,2.73846451e6,2023-03-04
6.8406825,6.8416228,6.2576965,6.5426074,7.275,7.276,6.655,6.958,5.30953451e6,5.30953451e6,2023-03-03
7.0861008,7.1321755,6.7353689,6.8406825,7.536,7.585,7.163,7.275,2.87068688e6,2.87068688e6,2023-03-02
6.7663988,7.0964441,6.7193838,7.0861008,7.196,7.547,7.146,7.536,3.75077774e6,3.75077774e6,2023-03-01
6.8397422,6.9789066,6.6723688,6.7654585,7.274,7.422,7.096,7.195,4.03440579e6,4.03440579e6,2023-02-28
7.0466082,7.0597724,6.6958763,6.8397422,7.494,7.508,7.121,7.274,4.00458573e6,4.00458573e6,2023-02-27
6.9309513,7.0973844,6.8576079,7.0494291,7.371,7.548,7.293,7.497,2.54196905e6,2.54196905e6,2023-02-26
7.0202798,7.0437873,6.7400704,6.9328319,7.466,7.491,7.168,7.373,4.27789398e6,4.27789398e6,2023-02-25
7.4631611,7.6625047,6.788966,7.0202798,7.937,8.149,7.22,7.466,9.71301908e6,9.71301908e6,2023-02-24
7.2562951,7.719863,7.212101,7.4612805,7.717,8.21,7.67,7.935,1.015010682e7,1.015010682e7,2023-02-23
7.1848323,7.2892056,6.8585482,7.2562951,7.641,7.752,7.294,7.717,6.49694259e6,6.49694259e6,2023-02-22
7.5402657,7.5948031,7.0569515,7.183892,8.019,8.077,7.505,7.64,5.89397486e6,5.89397486e6,2023-02-21
7.531803,7.89852,7.2600563,7.5383851,8.01,8.4,7.721,8.017,8.06537747e6,8.06537747e6,2023-02-20
7.5092358,7.7941467,7.353146,7.5355642,7.986,8.289,7.82,8.014,9.41602658e6,9.41602658e6,2023-02-19
7.1923547,7.7631168,7.0475485,7.5120567,7.649,8.256,7.495,7.989,1.138904679e7,1.138904679e7,2023-02-18
6.5924433,7.2506533,6.5557716,7.193295,7.011,7.711,6.972,7.65,8.09796831e6,8.09796831e6,2023-02-17
