Name,ID
Binance,binance
OKX,okex
Coinbase Exchange,gdax
KuCoin,kucoin
Huobi,huobi
Bybit,bybit_spot
Bitfinex,bitfinex
Binance US,binance_us
Crypto.com Exchange,crypto_com
MEXC Global,mxc
Bitget,bitget
Kraken,kraken
Upbit,upbit
BTCEX,btcex
Phemex,phemex
Gemini,gemini
BitMart,bitmart
BKEX,bkex
Gate.io,gate
XT.COM,xt
BingX,bingx
WhiteBIT,whitebit
Bitstamp,bitstamp
LATOKEN,latoken
Hotbit,hotbit
EXMO,exmo
BtcTurk PRO,btcturk
Bitkub,bitkub
WOO X,wootrade
CoinEx,coinex
Bitso,bitso
Bitbank,bitbank
Bittrex,bittrex
Max Maicoin,max_maicoin
Okcoin,okcoin
Coins.ph,coinspro
Kuna Exchange,kuna
DigiFinex,digifinex
LBank,lbank
Bitrue,bitrue
Coinsbit,coinsbit
P2B,p2pb2b
Tidex,tidex
BigONE,bigone
Bithumb,bithumb
Coinstore,coinstore
Dex-Trade,dextrade
Paribu,paribu
AscendEX (BitMax),bitmax
BTSE,btse
bitFlyer,bitflyer
Independent Reserve,independent_reserve
Nominex,nominex
Bitci TR,bitci
Kanga,kanga
BTCMarkets,btcmarkets
FinexBox,finexbox
Bitpanda Pro,bitpanda
Luno,luno
Indodax,indodax
Korbit,korbit
Coinmetro,coin_metro
Emirex,emirex
BitMEX,bitmex_spot
NiceHash,nice_hash
Deepcoin,deepcoin
Uniswap (Arbitrum One),uniswap_v3_arbitrum
Pionex,pionex
PancakeSwap (v2),pancakeswap_new
Poloniex,poloniex
BIT,bit_com
Pancakeswap (Stableswap),pancakeswap_stableswap
Uniswap (v2),uniswap_v2
FMFW.io,bitcoin_com
Uniswap (Optimism),uniswap_v3_optimism
Bitvavo,bitvavo
Bitexen,bitexen
Cryptology,cryptology
Sushiswap,sushiswap
Thena,thena
Quickswap (v3),quickswap_v3
Orca,orca
Blockchain.com,blockchain_com
Trader Joe v2,traderjoe-v2-avalanche
KyberSwap Elastic (Ethereum),kyberswap_elastic
Canto Dex,canto_dex
Velodrome Finance,velodrome
Dodo (BSC),dodo_bsc
Bibox,bibox
Catex,catex
Sushiswap (Arbitrum One),sushiswap_arbitrum
Osmosis,osmosis
Camelot,camelot
GMO Japan,gmo_japan
ApeX Pro,apex_pro
Quickswap,quickswap
Kyberswap Elastic (Polygon),kyberswap_elastic_polygon
Bitazza,bitazza
Equalizer,equalizer
VVS Finance,vvs
