Name,ID
Binance,binance
Coinbase Exchange,gdax
Bybit,bybit_spot
KuCoin,kucoin
Kraken,kraken
Bitfinex,bitfinex
Binance US,binance_us
OKX,okex
Bitget,bitget
Gate.io,gate
Huobi,huobi
Crypto.com Exchange,crypto_com
Gemini,gemini
DigiFinex,digifinex
MEXC,mxc
WhiteBIT,whitebit
Deepcoin,deepcoin
BingX,bingx
Tidex,tidex
EXMO,exmo
Dex-Trade,dextrade
Bitstamp,bitstamp
Phemex,phemex
PointPay,pointpay
Bitbank,bitbank
WOO X,wootrade
Bitkub,bitkub
CoinEx,coinex
Bitso,bitso
Bullish,bullish_com
Indodax,indodax
Max Maicoin,max_maicoin
Bittrex Global,bittrex
Fastex,fastex
VALR,valr
Coins.ph,coinspro
NiceHash,nice_hash
BitMEX,bitmex_spot
LBank,lbank
BitMart,bitmart
CoinW,coinw
XT.COM,xt
LATOKEN,latoken
Coinsbit,coinsbit
Bitrue,bitrue
P2B,p2pb2b
BTSE,btse
Toobit,toobit
Bithumb,bithumb
BigONE,bigone
Coinstore,coinstore
BtcTurk | Kripto,btcturk
bitFlyer,bitflyer
QMall,qmall
C-Patex,c_patex
Kanga,kanga
Luno,luno
BitoPro,bitopro
Independent Reserve,independent_reserve
itBit,itbit
CEX.IO,cex
Blockchain.com,blockchain_com
Emirex,emirex
Coinmetro,coin_metro
Delta Exchange,delta_spot
Kuna Exchange,kuna
Okcoin,okcoin
Upbit,upbit
CoinTR Pro,cointr
Biconomy,biconomy
BitMake,bitmake
AscendEX (BitMax),bitmax
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
Uniswap V2 (Ethereum),uniswap_v2
ProBit Global,probit
Azbit,azbit
DIFX,difx
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Bitvavo,bitvavo
Poloniex,poloniex
Paribu,paribu
Cryptology,cryptology
Bitci TR,bitci
PancakeSwap (v2),pancakeswap_new
Osmosis,osmosis
SyncSwap,syncswap
Orca,orca
Bitexen,bitexen
Bitazza,bitazza
GMO Japan,gmo_japan
BTCMarkets,btcmarkets
PulseX,pulsex
Sushiswap,sushiswap
Pancakeswap V3 (zkSync),pancakeswap-v3-zksync
FinexBox,finexbox
BitBNS,bitbns
Velodrome Finance v2,velodrome-finance-v2
DODO (BSC),dodo_bsc
BitTrade,huobi_japan
GoPax,gopax
