open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
5.5637551,5.6812926,5.538367,5.6258149,5.917,6.042,5.89,5.983,915408.7,915408.7,2023-03-05
5.6775314,5.6963374,5.387919,5.5637551,6.038,6.058,5.73,5.917,2.60338707e6,2.60338707e6,2023-03-04
5.9568005,5.9596214,5.4462176,5.6765911,6.335,6.338,5.792,6.037,5.50376491e6,5.50376491e6,2023-03-03
6.1439202,6.168368,5.8496063,5.9568005,6.534,6.56,6.221,6.335,2.98931983e6,2.98931983e6,2023-03-02
5.9699647,6.2040994,5.9295318,6.1448605,6.349,6.598,6.306,6.535,4.300464e6,4.300464e6,2023-03-01
6.187174,6.20598,5.9013228,5.9680841,6.58,6.6,6.276,6.347,4.16972504e6,4.16972504e6,2023-02-28
6.2924876,6.3799355,6.1016067,6.1862337,6.692,6.785,6.489,6.579,4.41166172e6,4.41166172e6,2023-02-27
6.1533232,6.328219,6.1147709,6.2915473,6.544,6.73,6.503,6.691,3.36302411e6,3.36302411e6,2023-02-26
6.2191442,6.2520547,5.9633826,6.1533232,6.614,6.649,6.342,6.544,3.4970108e6,3.4970108e6,2023-02-25
6.6714285,6.7193838,6.083741,6.2191442,7.095,7.146,6.47,6.614,7.39929171e6,7.39929171e6,2023-02-24
6.7569958,6.9431752,6.5962045,6.6695479,7.186,7.384,7.015,7.093,5.90619995e6,5.90619995e6,2023-02-23
6.8181153,6.835981,6.469264,6.7569958,7.251,7.27,6.88,7.186,7.59741857e6,7.59741857e6,2023-02-22
7.1002053,7.1227725,6.6921151,6.8181153,7.551,7.575,7.117,7.251,6.6711977e6,6.6711977e6,2023-02-21
6.995832,7.1161904,6.817175,7.1002053,7.44,7.568,7.25,7.551,7.8867123e6,7.8867123e6,2023-02-20
6.798369,7.42837,6.7560555,6.9939514,7.23,7.9,7.185,7.438,1.491259412e7,1.491259412e7,2023-02-19
6.8491452,6.9347125,6.6808315,6.7974287,7.284,7.375,7.105,7.229,8.16883205e6,8.16883205e6,2023-02-18
5.9492781,6.9751454,5.9154273,6.8491452,6.327,7.418,6.291,7.284,1.807158297e7,1.807158297e7,2023-02-17
6.2172636,6.5341447,5.9408154,5.9492781,6.612,6.949,6.318,6.327,9.17424837e6,9.17424837e6,2023-02-16
5.8561884,6.2229054,5.792248,6.2172636,6.228,6.618,6.16,6.612,6.59349292e6,6.59349292e6,2023-02-15
5.7743823,5.8900392,5.594785,5.8552481,6.141,6.264,5.95,6.227,5.37081292e6,5.37081292e6,2023-02-14
5.811054,5.8853377,5.5270834,5.7762629,6.18,6.259,5.878,6.143,6.43136753e6,6.43136753e6,2023-02-13
5.9032034,6.0056961,5.7113822,5.8119943,6.278,6.387,6.074,6.181,2.37502769e6,2.37502769e6,2023-02-12
5.8148152,5.9173079,5.7903674,5.9032034,6.184,6.293,6.158,6.278,1.70022729e6,1.70022729e6,2023-02-11
5.8627705,5.9314124,5.754636,5.8166958,6.235,6.308,6.12,6.186,4.98121812e6,4.98121812e6,2023-02-10
6.3536071,6.5595328,5.7245464,5.8627705,6.757,6.976,6.088,6.235,1.045898531e7,1.045898531e7,2023-02-09
6.525682,6.600906,6.2200845,6.3536071,6.94,7.02,6.615,6.757,4.81079032e6,4.81079032e6,2023-02-08
6.1063082,6.5341447,6.0865619,6.5266223,6.494,6.949,6.473,6.941,5.49095562e6,5.49095562e6,2023-02-07
6.2417114,6.3836967,6.0188603,6.1063082,6.638,6.789,6.401,6.494,4.69500022e6,4.69500022e6,2023-02-06
6.4617416,6.4833685,6.1241739,6.2407711,6.872,6.895,6.513,6.637,5.1672405e6,5.1672405e6,2023-02-05
6.5896224,6.6526225,6.4109654,6.4626819,7.008,7.075,6.818,6.873,3.78692197e6,3.78692197e6,2023-02-04
6.1523829,6.7005778,6.1157112,6.5896224,6.543,7.126,6.504,7.008,1.017694345e7,1.017694345e7,2023-02-03
6.0809201,6.5040551,6.0658753,6.1523829,6.467,6.917,6.451,6.543,8.40770121e6,8.40770121e6,2023-02-02
5.886278,6.1034873,5.6671881,6.0809201,6.26,6.491,6.027,6.467,5.79069206e6,5.79069206e6,2023-02-01
5.820457,5.952099,5.7753226,5.886278,6.19,6.33,6.142,6.26,3.77854945e6,3.77854945e6,2023-01-31
6.2172636,6.252995,5.660606,5.820457,6.612,6.65,6.02,6.19,5.5726429e6,5.5726429e6,2023-01-30
6.0141588,6.30001,5.9492781,6.2163233,6.396,6.7,6.327,6.611,4.74508665e6,4.74508665e6,2023-01-29
6.1918755,6.2661592,5.9436363,6.0150991,6.585,6.664,6.321,6.397,3.86664774e6,3.86664774e6,2023-01-28
6.0856216,6.2276069,5.895681,6.1918755,6.472,6.623,6.27,6.585,5.36514779e6,5.36514779e6,2023-01-27
6.01792,6.1711889,5.9248303,6.0856216,6.4,6.563,6.301,6.472,6.83019266e6,6.83019266e6,2023-01-26
