time,volume
1.7050812e12,88132.06
1.7051676e12,80967.98
1.705254e12,39184.04
1.7053404e12,54777.08
1.7054268e12,52342.07
1.7055132e12,53766.81
1.7055996e12,51303.35
1.705686e12,72039.73
1.7057724e12,43232.77
1.7058588e12,24552.41
1.7059452e12,60984.92
1.7060316e12,98394.18
1.706118e12,67745.6
1.7062044e12,48970.71
1.7062908e12,50565.04
1.7063772e12,28516.77
1.7064636e12,39006.31
1.70655e12,46539.3
1.7066364e12,47921.65
1.7067228e12,55070.74
1.7068092e12,55560.9
1.7068956e12,47463.34
1.706982e12,26444.28
1.7070684e12,22763.15
1.7071548e12,42669.18
1.7072412e12,45299.99
1.7073276e12,46339.93
1.707414e12,64059.39
1.7075004e12,90388.57
1.7075868e12,46805.43
