open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
43692.08706,43898.29821,43610.60376,43830.42327,47132.78,47355.23,47044.88,47282.01,2223.9593,2223.9593,2024-02-10
41982.58782,44681.4,41939.44524,43692.07779,45288.66,48200.0,45242.12,47132.77,73503.481,73503.481,2024-02-09
41112.0792,42284.4561,41094.9297,41982.57855,44349.6,45614.3,44331.1,45288.65,45439.62231,45439.62231,2024-02-08
39952.73592,41155.5555,39664.476,41112.0792,43098.96,44396.5,42788.0,44349.6,34392.59915,34392.59915,2024-02-07
39590.9649,40231.78146,39466.098,39952.72665,42708.7,43399.98,42574.0,43098.95,24675.85433,24675.85433,2024-02-06
39474.32976,40389.16752,39173.2587,39590.9649,42582.88,43569.76,42258.1,42708.7,29467.75905,29467.75905,2024-02-05
39871.2897,39971.35008,39139.794,39474.32976,43011.1,43119.04,42222.0,42582.88,17066.89404,17066.89404,2024-02-04
40046.39073,40213.26927,39749.76,39871.28043,43199.99,43380.01,42880.0,43011.09,12033.40998,12033.40998,2024-02-03
39937.89465,40313.376,39440.87433,40046.4,43082.95,43488.0,42546.79,43200.0,29672.14418,29672.14418,2024-02-02
39471.66,40125.31551,38826.72756,39937.88538,42580.0,43285.13,41884.28,43082.94,35231.04664,35231.04664,2024-02-01
39806.3997,40551.71697,39190.63068,39471.66,42941.1,43745.11,42276.84,42580.0,39871.13688,39871.13688,2024-01-31
40141.61217,40678.94772,39568.05873,39806.3997,43302.71,43882.36,42683.99,42941.1,37619.24546,37619.24546,2024-01-30
38962.78335,40169.691,38753.12376,40141.6029,42031.05,43333.0,41804.88,43302.7,31542.74207,31542.74207,2024-01-29
39045.82401,39715.16436,38582.49087,38962.79262,42120.63,42842.68,41620.81,42031.06,27294.99838,27294.99838,2024-01-28
38770.39377,39119.4,38372.55318,39045.82401,41823.51,42200.0,41394.34,42120.63,16224.41667,16224.41667,2024-01-27
37043.93043,39162.80214,36915.47604,38770.39377,39961.09,42246.82,39822.52,41823.51,47384.96726,47384.96726,2024-01-26
37158.69303,37358.32248,36662.85,37043.93043,40084.89,40300.24,39550.0,39961.09,31022.11853,31022.11853,2024-01-25
36985.06593,37594.485,36601.84413,37158.68376,39897.59,40555.0,39484.19,40084.88,39293.82861,39293.82861,2024-01-24
