Name,ID
Bybit,bybit_spot
Coinbase Exchange,gdax
OKX,okex
Gate.io,gate
KuCoin,kucoin
Kraken,kraken
Bitfinex,bitfinex
Binance US,binance_us
HashKey Exchange,hashkey_exchange
Binance,binance
HTX,huobi
Bitget,bitget
BingX,bingx
CoinW,coinw
Crypto.com Exchange,crypto_com
Bitstamp,bitstamp
Gemini,gemini
WOO X,wootrade
Coins.ph,coinspro
MEXC,mxc
DigiFinex,digifinex
BitMart,bitmart
Upbit,upbit
LBank,lbank
Bitrue,bitrue
WhiteBIT,whitebit
LATOKEN,latoken
XT.COM,xt
Deepcoin,deepcoin
Fastex,fastex
BTSE,btse
CITEX,citex
AscendEX (BitMax),bitmax
Azbit,azbit
PointPay,pointpay
Phemex,phemex
Dex-Trade,dextrade
EXMO,exmo
CoinEx,coinex
Bitbank,bitbank
Bitso,bitso
Max Maicoin,max_maicoin
BitoPro,bitopro
Indodax,indodax
Luno,luno
XeggeX,xeggex
Blockchain.com,blockchain_com
BitMEX,bitmex_spot
Bithumb,bithumb
Tapbit,tapbit
Bitunix,bitunix
BigONE,bigone
ProBit Global,probit
Coinstore,coinstore
bitFlyer,bitflyer
Bitkub,bitkub
bitcastle,bitcastle
Korbit,korbit
Bullish,bullish_com
Bitazza,bitazza
BitStorage,bitstorage
FinexBox,finexbox
VALR,valr
Independent Reserve,independent_reserve
CEX.IO,cex
Stormgain,stormgain
Bitlo,bitlo
Kuna Exchange,kuna
Coinmetro,coin_metro
Okcoin,okcoin
Uniswap V3 (Ethereum),uniswap_v3
Hotcoin Global,hotcoin_global
P2B,p2pb2b
CoinTR Pro,cointr
BitVenus,bitvenus_spot
Toobit,toobit
Biconomy,biconomy
Pionex,pionex
Bitvavo,bitvavo
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
BitMake,bitmake
Uniswap V2 (Ethereum),uniswap_v2
WEEX,weex
Bitci TR,bitci
QMall,qmall
BtcTurk | Kripto,btcturk
Paribu,paribu
BitDelta,bitdelta
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
C-Patex,c_patex
Coinone,coinone
Osmosis,osmosis
PancakeSwap (v2),pancakeswap_new
Balancer V2,balancer
Trader Joe V2.1 (Arbitrum),traderjoe-v2-1-arbitrum
PulseX,pulsex
GMO Japan,gmo_japan
Katana,katana
Cryptology,cryptology
