open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
16.115855,16.172237,15.946709,16.059473,17.15,17.21,16.97,17.09,72435.55,72435.55,2023-03-12
16.369574,16.792439,15.467462,16.115855,17.42,17.87,16.46,17.15,760142.55,760142.55,2023-03-11
16.050076,16.472941,15.12917,16.378971,17.08,17.53,16.1,17.43,1.26099203e6,1.26099203e6,2023-03-10
17.140128,17.469023,15.59902,16.040679,18.24,18.59,16.6,17.07,881182.05,881182.05,2023-03-09
18.061034,18.126813,16.848821,17.149525,19.22,19.29,17.93,18.25,660187.82,660187.82,2023-03-08
18.474502,18.643648,17.66636,18.051637,19.66,19.84,18.8,19.21,463081.16,463081.16,2023-03-07
18.568472,18.615457,17.94827,18.465105,19.76,19.81,19.1,19.65,531276.22,531276.22,2023-03-06
18.737618,19.226262,18.41812,18.559075,19.94,20.46,19.6,19.75,374404.81,374404.81,2023-03-05
19.132292,19.207468,18.277165,18.747015,20.36,20.44,19.45,19.95,465415.25,465415.25,2023-03-04
19.837067,19.846464,17.8543,19.132292,21.11,21.12,19.0,20.36,1.10816073e6,1.10816073e6,2023-03-03
19.996816,20.090786,19.301438,19.82767,21.28,21.38,20.54,21.1,418171.96,418171.96,2023-03-02
19.508172,20.165962,19.404805,20.006213,20.76,21.46,20.65,21.29,443423.11,443423.11,2023-03-01
20.01561,20.184756,19.320232,19.508172,21.3,21.48,20.56,20.76,420915.73,420915.73,2023-02-28
20.118977,20.306917,19.564554,20.025007,21.41,21.61,20.82,21.31,533129.71,533129.71,2023-02-27
19.714906,20.250535,19.573951,20.118977,20.98,21.55,20.83,21.41,427312.17,427312.17,2023-02-26
19.846464,19.968625,19.07591,19.714906,21.12,21.25,20.3,20.98,665874.33,665874.33,2023-02-25
20.786164,20.927119,19.45179,19.837067,22.12,22.27,20.7,21.11,895989.16,895989.16,2023-02-24
21.115059,21.349984,20.513651,20.786164,22.47,22.72,21.83,22.12,807536.43,807536.43,2023-02-23
21.472145,21.547321,20.382093,21.124456,22.85,22.93,21.69,22.48,1.17480905e6,1.17480905e6,2023-02-22
21.782246,22.787725,21.04928,21.472145,23.18,24.25,22.4,22.85,2.59835203e6,2.59835203e6,2023-02-21
21.14325,22.289684,20.438475,21.782246,22.5,23.72,21.75,23.18,1.53770484e6,1.53770484e6,2023-02-20
21.256014,21.923201,20.870737,21.14325,22.62,23.33,22.21,22.5,1.44278721e6,1.44278721e6,2023-02-19
21.058677,21.791643,20.776767,21.256014,22.41,23.19,22.11,22.62,1.06014781e6,1.06014781e6,2023-02-18
20.071992,21.246617,19.940434,21.068074,21.36,22.61,21.22,22.42,1.09641459e6,1.09641459e6,2023-02-17
21.115059,21.472145,20.006213,20.062595,22.47,22.85,21.29,21.35,1.3050278e6,1.3050278e6,2023-02-16
19.949831,21.124456,19.630333,21.115059,21.23,22.48,20.89,22.47,1.11328513e6,1.11328513e6,2023-02-15
19.395408,19.978022,18.991337,19.949831,20.64,21.26,20.21,21.23,834517.73,834517.73,2023-02-14
19.780685,19.912243,18.794,19.395408,21.05,21.19,20.0,20.64,1.04393024e6,1.04393024e6,2023-02-13
20.20355,20.335108,19.470584,19.790082,21.5,21.64,20.72,21.06,626877.22,626877.22,2023-02-12
19.705509,20.212947,19.677318,20.194153,20.97,21.51,20.94,21.49,693178.98,693178.98,2023-02-11
19.63973,20.10958,19.470584,19.705509,20.9,21.4,20.72,20.97,990768.29,990768.29,2023-02-10
21.274808,21.528527,19.113498,19.63973,22.64,22.91,20.34,20.9,1.6002305e6,1.6002305e6,2023-02-09
21.80104,21.970186,20.76737,21.274808,23.2,23.38,22.1,22.64,981193.41,981193.41,2023-02-08
20.786164,21.89501,20.6734,21.80104,22.12,23.3,22.0,23.2,1.00001544e6,1.00001544e6,2023-02-07
21.472145,21.678879,20.570033,20.795561,22.85,23.07,21.89,22.13,977981.87,977981.87,2023-02-06
22.374257,22.627976,21.04928,21.472145,23.81,24.08,22.4,22.85,1.72609835e6,1.72609835e6,2023-02-05
21.772849,23.445515,21.660085,22.374257,23.17,24.95,23.05,23.81,2.41290215e6,2.41290215e6,2023-02-04
21.077471,22.440036,20.927119,21.772849,22.43,23.88,22.27,23.17,2.26211086e6,2.26211086e6,2023-02-03
21.011692,22.712549,20.570033,21.068074,22.36,24.17,21.89,22.42,2.25104792e6,2.25104792e6,2023-02-02
20.372696,21.152647,19.714906,21.002295,21.68,22.51,20.98,22.35,943426.95,943426.95,2023-02-01
20.053198,20.645209,19.931037,20.382093,21.34,21.97,21.21,21.69,685184.93,685184.93,2023-01-31
21.378175,22.139332,19.54576,20.062595,22.75,23.56,20.8,21.35,1.86436616e6,1.86436616e6,2023-01-30
20.400887,21.472145,20.259932,21.378175,21.71,22.85,21.56,22.75,1.04529899e6,1.04529899e6,2023-01-29
20.692194,20.889531,20.184756,20.410284,22.02,22.23,21.48,21.72,602522.24,602522.24,2023-01-28
20.664003,20.917722,19.931037,20.692194,21.99,22.26,21.21,22.02,559836.47,559836.47,2023-01-27
20.532445,21.030486,20.175359,20.654606,21.85,22.38,21.47,21.98,977046.11,977046.11,2023-01-26
19.893449,21.058677,19.320232,20.523048,21.17,22.41,20.56,21.84,1.09509954e6,1.09509954e6,2023-01-25
21.415763,21.603703,19.26385,19.902846,22.79,22.99,20.5,21.18,948732.06,948732.06,2023-01-24
21.190235,22.45883,20.804958,21.415763,22.55,23.9,22.14,22.79,1.97767877e6,1.97767877e6,2023-01-23
20.48546,22.223905,20.29752,21.190235,21.8,23.65,21.6,22.55,1.43478925e6,1.43478925e6,2023-01-22
21.086868,21.51913,20.316314,20.48546,22.44,22.9,21.62,21.8,1.14374511e6,1.14374511e6,2023-01-21
19.489378,21.293602,19.282644,21.105662,20.74,22.66,20.52,22.46,815257.02,815257.02,2023-01-20
19.122895,19.555157,19.07591,19.479981,20.35,20.81,20.3,20.73,815738.87,815738.87,2023-01-19
20.513651,21.171441,18.812794,19.132292,21.83,22.53,20.02,20.36,1.53341916e6,1.53341916e6,2023-01-18
