time,volume
1.7050068e12,128701.06
1.7050932e12,89267.24
1.7051796e12,75529.12
1.705266e12,39777.49
1.7053524e12,54051.56
1.7054388e12,51388.23
1.7055252e12,54236.11
1.7056116e12,64539.32
1.705698e12,66931.05
1.7057844e12,31276.56
1.7058708e12,23327.17
1.7059572e12,80596.27
1.7060436e12,90717.67
1.70613e12,63739.27
1.7062164e12,48645.08
1.7063028e12,50697.77
1.7063892e12,23178.6
1.7064756e12,43935.61
1.706562e12,45929.47
1.7066484e12,48011.44
1.7067348e12,58638.98
1.7068212e12,54488.49
1.7069076e12,44992.06
1.706994e12,24880.02
1.7070804e12,24605.59
1.7071668e12,42687.65
1.7072532e12,47187.04
1.7073396e12,51458.21
1.707426e12,59543.11
1.7075124e12,96816.89
