open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
0.28670247,0.28961554,0.28360146,0.28783011,0.3051,0.3082,0.3018,0.3063,2.11547047e7,2.11547047e7,2023-03-12
0.29591153,0.30333516,0.28313161,0.28670247,0.3149,0.3228,0.3013,0.3051,1.743418472e8,1.743418472e8,2023-03-11
0.29149494,0.29901254,0.27965472,0.29591153,0.3102,0.3182,0.2976,0.3149,1.844466292e8,1.844466292e8,2023-03-10
0.29835475,0.30286531,0.28303764,0.29140097,0.3175,0.3223,0.3012,0.3101,1.915200242e8,1.915200242e8,2023-03-09
0.31057085,0.31273216,0.29440801,0.29835475,0.3305,0.3328,0.3133,0.3175,1.105011005e8,1.105011005e8,2023-03-08
0.31066482,0.31461156,0.30154973,0.31066482,0.3306,0.3348,0.3209,0.3306,9.92096545e7,9.92096545e7,2023-03-07
0.3166789,0.31827639,0.30925527,0.31057085,0.337,0.3387,0.3291,0.3305,7.28821972e7,7.28821972e7,2023-03-06
0.31630302,0.3223171,0.31442362,0.3166789,0.3366,0.343,0.3346,0.337,5.32693707e7,5.32693707e7,2023-03-05
0.32241107,0.32400856,0.31038291,0.31630302,0.3431,0.3448,0.3303,0.3366,5.64327719e7,5.64327719e7,2023-03-04
0.32936485,0.32974073,0.30183164,0.32241107,0.3505,0.3509,0.3212,0.3431,1.63025922e8,1.63025922e8,2023-03-03
0.33838597,0.33970155,0.32372665,0.32927088,0.3601,0.3615,0.3445,0.3504,8.18545768e7,8.18545768e7,2023-03-02
0.33058646,0.34242668,0.32823721,0.33838597,0.3518,0.3644,0.3493,0.3601,6.76717977e7,6.76717977e7,2023-03-01
0.34270859,0.3458096,0.32748545,0.33049249,0.3647,0.368,0.3485,0.3517,7.67487946e7,7.67487946e7,2023-02-28
0.3467493,0.34787694,0.33603672,0.34270859,0.369,0.3702,0.3576,0.3647,7.13967337e7,7.13967337e7,2023-02-27
0.34026537,0.34806488,0.33613069,0.34684327,0.3621,0.3704,0.3577,0.3691,6.22537294e7,6.22537294e7,2023-02-26
0.34364829,0.34552769,0.33002264,0.3401714,0.3657,0.3677,0.3512,0.362,9.33563898e7,9.33563898e7,2023-02-25
0.35934128,0.36197244,0.3364126,0.34374226,0.3824,0.3852,0.358,0.3658,1.365301407e8,1.365301407e8,2023-02-24
0.36544933,0.37108753,0.35652218,0.35934128,0.3889,0.3949,0.3794,0.3824,8.12289975e7,8.12289975e7,2023-02-23
0.36892622,0.36920813,0.35417293,0.36535536,0.3926,0.3929,0.3769,0.3888,1.23152287e8,1.23152287e8,2023-02-22
0.37935689,0.38142423,0.36225435,0.36883225,0.4037,0.4059,0.3855,0.3925,1.19823429e8,1.19823429e8,2023-02-21
0.37531618,0.38508906,0.36582521,0.37945086,0.3994,0.4098,0.3893,0.4038,1.169063777e8,1.169063777e8,2023-02-20
0.3815182,0.38734434,0.37287296,0.37541015,0.406,0.4122,0.3968,0.3995,9.81812301e7,9.81812301e7,2023-02-19
0.37898101,0.39317048,0.37362472,0.3815182,0.4033,0.4184,0.3976,0.406,8.95902715e7,8.95902715e7,2023-02-18
0.36403978,0.38508906,0.36216038,0.37898101,0.3874,0.4098,0.3854,0.4033,1.235242136e8,1.235242136e8,2023-02-17
0.3937343,0.39589561,0.36291214,0.36403978,0.419,0.4213,0.3862,0.3874,1.74768994e8,1.74768994e8,2023-02-16
0.36347596,0.394674,0.35887143,0.3937343,0.3868,0.42,0.3819,0.419,1.515912253e8,1.515912253e8,2023-02-15
0.33763421,0.36939607,0.33312365,0.36338199,0.3593,0.3931,0.3545,0.3867,1.569901759e8,1.569901759e8,2023-02-14
0.34214477,0.34364829,0.3241965,0.33763421,0.3641,0.3657,0.345,0.3593,1.14427322e8,1.14427322e8,2023-02-13
0.34627945,0.35125986,0.33791612,0.34214477,0.3685,0.3738,0.3596,0.3641,5.74160922e7,5.74160922e7,2023-02-12
0.3364126,0.34787694,0.33519099,0.34618548,0.358,0.3702,0.3567,0.3684,5.59049549e7,5.59049549e7,2023-02-11
0.34035934,0.34355432,0.33208998,0.33650657,0.3622,0.3656,0.3534,0.3581,1.042898191e8,1.042898191e8,2023-02-10
0.37042974,0.37183929,0.33293571,0.34035934,0.3942,0.3957,0.3543,0.3622,1.515038344e8,1.515038344e8,2023-02-09
0.37484633,0.37916895,0.36206641,0.37042974,0.3989,0.4035,0.3853,0.3942,9.28725274e7,9.28725274e7,2023-02-08
0.35924731,0.37569206,0.35840158,0.37484633,0.3823,0.3998,0.3814,0.3989,1.072467768e8,1.072467768e8,2023-02-07
0.36864431,0.37898101,0.35661615,0.35924731,0.3923,0.4033,0.3795,0.3823,1.102478519e8,1.102478519e8,2023-02-06
0.37522221,0.37766543,0.35905937,0.36864431,0.3993,0.4019,0.3821,0.3923,1.04454046e8,1.04454046e8,2023-02-05
0.37935689,0.38104835,0.37353075,0.37531618,0.4037,0.4055,0.3975,0.3994,6.9665961e7,6.9665961e7,2023-02-04
0.37409457,0.3824579,0.37061768,0.37945086,0.3981,0.407,0.3944,0.4038,1.122315807e8,1.122315807e8,2023-02-03
0.3730609,0.38865992,0.36845637,0.37409457,0.397,0.4136,0.3921,0.3981,1.792156583e8,1.792156583e8,2023-02-02
0.36667094,0.37757146,0.3486287,0.3730609,0.3902,0.4018,0.371,0.397,1.629989639e8,1.629989639e8,2023-02-01
0.35003825,0.37569206,0.34590357,0.36667094,0.3725,0.3998,0.3681,0.3902,1.56301183e8,1.56301183e8,2023-01-31
